id,product_id,image_url,status,created_at,updated_at
1,1,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240216/gv20000801345_1.jpg,exit,,
2,2,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20180628/gv00000026305_2.jpg,exit,,
3,3,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20200624/gv10000103368_2.jpg,exit,,
4,4,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210618/gv40000194433_2.jpg,exit,,
5,5,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210128/gv10000155292_2.jpg,exit,,
6,6,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20230329/gv40000561325_2.jpg,exit,,
7,7,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20201230/gv10000147972_2.jpg,exit,,
8,8,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20230105/gv40000474301_2.jpg,exit,,
9,9,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230922/gv10000728172_1.jpg,exit,,
10,10,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20191023/gv40000065665_2.jpg,exit,,
11,11,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20200617/gv40000101697_2.jpg,exit,,
12,12,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_2.jpg,exit,,
13,13,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_2.jpg,exit,,
14,14,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20240304/gv20000803883_2.jpg,exit,,
15,15,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20211115/gv00000243048_2.jpg,exit,,
16,16,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20230120/gv30000479558_2.jpg,exit,,
17,17,https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220722/gv20000342124_2.jpg,exit,,
