id,product_id,image_url,status,created_at,updated_at
46,22,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230522/gv30000698944_1.jpg,,,
47,22,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230522/gv00000698945_1.jpg,,,
48,23,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240719/gv30000943595_1.jpg,,,
49,23,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240711/gv20000938938_1.jpg,,,
50,24,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230607/gv30000702251_1.jpg,,,
51,24,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230726/gv20000702252_1.jpg,,,
52,25,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20220214/gv10000044232_1.jpg,,,
53,25,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20220210/gv30000277485_1.jpg,,,
54,26,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241212/gv20001622881_1.jpg,,,
55,26,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241212/gv40001622879_1.jpg,,,
56,27,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20231213/gv10000786070_1.jpg,,,
57,27,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20231213/gv00000786072_1.jpg,,,
58,28,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241009/gv00001554804_1.jpg,,,
59,28,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240905/gv10001554807_1.jpg,,,
60,29,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230308/gv30000460568_1.jpg,,,
61,29,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20221109/gv30000448609_1.jpg,,,
62,30,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20231201/gv40000783641_1.jpg,,,
63,30,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20231201/gv40000783642_1.jpg,,,
64,31,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230913/gv20000725891_1.jpg,,,
65,31,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230913/gv20000725893_1.jpg,,,
66,32,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20210804/gv00000208742_1.jpg,,,
