id,product_url,keyword,sort,img,title,price,seller,category,description,ai_info,ai_review,created_at,updated_at
16,https://www.kurly.com/goods/5135831?collectionCode=ranking123,식품,16,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5179199a-0890-4ae6-b1bb-eb2c88c9b0f6.jpg,[온더고] 간편 미식 덮밥 도시락 4종 (택1),5539,-,간편식밀키트샐러드,"도시락 하나를 먹더라도 제대로 된 한 끼를 먹고 싶은 마음은 누구나 같을 거예요. 간편함은 그대로, 맛과 풍성함은 가득한 온더고의 도시락 4종을 만나보세요. 든든한 소고기 비빔밥부터 모짜렐라 치즈를 아낌없이 넣은 매콤불닭&치즈, 매콤한 맛을 살린 중화풍 해물잡채덮밥까지. 다채롭고 이색적인 메뉴들로 구성했어요. 전자레인지에 살짝 데우기만 하면 되니, 언제 어디서든 간편하게 근사한 한 끼를 즐겨보세요.",,,,
17,https://www.kurly.com/goods/5162187?collectionCode=ranking123,식품,17,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8dd666fa-0c9e-4181-a369-bbccce87fb4a.jpg,[KF365] 새콤달콤 제주 감귤 1.5kg,10900,-,과일견과쌀,"손쉽게 즐길 수 있는 과일로 귤만 한 것이 없죠. 이번에는 제주의 따스한 햇살을 받고 자라, 새콤달콤한 맛과 향을 뽐내는 감귤을 가져왔어요. 껍질을 벗겨 입에 넣으면 달달한 과즙은 물론, 톡톡 터지는 탱글한 과육까지 만끽할 수 있을 거예요. 남길 부담이 적은 양으로 보내 드리니, 산뜻한 감귤의 맛을 가볍게 누려 보세요.",,,,
18,https://www.kurly.com/goods/1000572062?collectionCode=ranking123,식품,18,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/1e143634-65e2-40e9-bbc8-8580f1b0e084.jpg,[사리원] 소불고기 전골,11925,-,국반찬메인요리,"4대에 이은 전통의 맛, 사리원의 소불고기 전골을 소개할게요. 매장의 대표 메뉴답게 푸짐한 구성이 특징인데요. 소고기와 비법 양념은 물론이고요. 표고와 팽이버섯이 쫄깃한 식감을 책임지고, 양념을 한껏 빨아들인 당면이 든든함을 더한답니다. ",,,,
19,https://www.kurly.com/goods/1000088626?collectionCode=ranking123',식품,19,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/fe13821c-60a1-4c99-bdc7-c360ec445ea0.jpeg,[사미헌] 우거지 갈비탕,8420,-,국반찬메인요리,"부산 서면문화로 거리를 오랜 시간 묵묵히 지키고 있는 한결같은 맛집이 있어요. 바로, 부산의 대표 한식당 사미헌인데요. 이번에는 컬리에서 꾸준한 사랑을 받는 사미헌의 갈비탕을 얼큰하게 끓여 선보입니다. 소고기 육수에 칼칼한 양념을 풀어 넣어 깊고 진한 국물 맛을 내고요. 구수한 우거지와 살코기가 두툼하게 붙은 갈비를 아낌 없이 넣었어요. 국물이 쏙 배어들어 야들해진 우거지와 갈비를 한 입 맛보면, 속이 확 풀리는 얼큰한 감칠맛에 감탄이 절로 나온답니다. 따끈한 밥 한 공기만 준비해 든든한 한 끼로 마련해 보세요.",,,,
20,https://www.kurly.com/goods/1000765126?collectionCode=ranking123,식품,20,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8ac2fba2-1973-485d-b6cb-e5804f9eb1b4.jpg,[제일맞게컬리] 육즙+왕교자 만두 1.01kg,8682,-,국반찬메인요리,CJ제일제당과 컬리가 함께 기획한 제일맞게컬리 육즙+왕교자를 만나 보세요. 한 입 베어물면 입안 가득 퍼지는 촉촉한 육즙이 특징인데요. 국내산 돼지고기를 식감을 살려 굵게 썰고 아낌없이 채워 넣은 것이 비법이랍니다. 쌀가루를 더한 만두피 덕에 구워도 쪄도 맛있으니 취향에 따라 조리해 보세요.,,,,
21,https://www.kurly.com/goods/1000420040?collectionCode=kurlyonlysalemd,식품,21,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7a011680-610b-4940-8d83-d2bb9e5b5f41.jpg,[KF365] 양념 칼집 목살구이1kg (냉동),14500,-,정육가공육달걀,"컬리가 KF365를 통해 선보이는 양념 칼집 목살구이를 만나보세요. 신선한 돼지고기 목심에 촘촘하게 칼집을 낸 후, 짭조름한 간장 양념에 푹 재워 완성했어요. 양파와 마늘, 배 등의 재료를 듬뿍 넣은 양념이라, 그 감칠맛의 여운이 제법 길답니다. 양념이 암갈색이 될 때까지 충분히 구워내면, 야들야들하면서도 달짝지근한 목살 구이를 맛볼 수 있죠. 온 가족이 함께 즐기기 좋은 1kg 용량으로 보내드려요. 냉장고에 구비해두고 마땅한 반찬이 떠오르지 않는 순간, 언제든지 꺼내 즐겨보세요.",,,,
22,https://www.kurly.com/goods/1000166206?collectionCode=kurlyonlysalemd,식품,22,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d53d208b-a180-4599-b960-7af513f3af1f.jpg, 99치킨 콤보 (윙&봉),8910,-,정육가공육달걀,"99치킨은 담백한 맛부터 푸짐한 양까지 그 시절 옛날 통닭을 그대로 빼닮았는데요. 거창한 양념이나 두꺼운 튀김옷 없이도 맛있는 99치킨을 더욱 간편하게 즐겨 보세요. 두 마리 99치킨의 인기에 힘입어, 이번에는 닭의 윙&봉 부위를 담은 치킨 콤보를 준비했어요. 부드럽고 쫄깃한 인기 부위만 아쉬움 없이 맛볼 수 있어 만족스럽고요. 알맞은 크기 덕에 손에 쥐고 먹기에도 편리하답니다. 넉넉한 용량으로 준비했으니, 에어프라이어로 노릇하게 조리해 가장 맛있는 타이밍에 즐겨 보세요.",,,,
23,https://www.kurly.com/goods/1000568226?collectionCode=kurlyonlysalemd,식품,23,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/53e04b88-cffd-467c-a44f-952990cf7e52.jpg,[어굼터] 순살 고등어구이 2종 (택1),4050,-,수산해산건어물,"집에서 생선구이를 구울 때 나는 냄새와 걱정 없이, 전자레인지 2분 조리만으로 즐길 수 있는 어굼터 순살 고등어구이예요. 수작업으로 잔가시까지 제거한 덕분에 발라내는 번거로움까지 덜 수 있죠. 녹차 가루로 잡내까지 깔끔하게 잡은 제품이라 더욱 만족스러울 거예요.",,,,
24,https://www.kurly.com/goods/1000185200?collectionCode=kurlyonlysalemd,식품,24,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3df368c8-e124-4d06-a9e9-af4c10d01b53.jpeg?v=0531,[압구정주꾸미] 주꾸미 볶음 2종 (택1),7700,-,국반찬메인요리,매콤 달콤한 양념을 흠뻑 입은 탱탱한 주꾸미 볶음 하나면 밥 한 공기쯤은 금세 비워낼 수 있죠. 압구정주꾸미는 매콤한 감칠맛을 제대로 살린 주꾸미 볶음을 선보입니다. 양념에 고추장과 고춧가루를 함께 사용해 텁텁함 없이 깔끔한 맛을 내고요. 국내산 다진 마늘을 아낌없이 넣어 알싸함까지 더했답니다. 오롯이 주꾸미와 양념만 담았으니 취향에 따라 야채나 떡 등을 추가해 달달 볶아 주세요. 남은 양념에 볶음밥을 완성해도 별미랍니다.,,,,
25,https://www.kurly.com/goods/5034409?collectionCode=kurlyonlysalemd,식품,25,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1644835957605l0.jpg,[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼),4800,-,국반찬메인요리,"얼큰하고 진한 국물도 맛있지만 담백하고 자극적이지 않은 국물이 당기는 날이 있어요. 컬리는 국물만 챙겨 먹어도 속이 스르르 풀어지는 황태국밥을 준비했어요. 컬리의 깐깐함과 요리연구가 최주영 대표의 노하우로 만들어진 LOTS OF LOVE의 황태국밥이에요. 밥과 육수를 함께 달달 볶는 방식으로 만들어 밥알에 육수가 스며들어 있어요. 물만 부어 끓여주면 간단하게 황태국밥이 완성되지요. 별도로 밥을 준비할 필요가 없어 편리해요. 황태뿐만 아니라 콩나물, 무, 대파 등을 아낌없이 넣어 시원하고 담백한 맛을 냈어요. 따로 식사를 챙길 시간이 없을 때 LOTS OF LOVE의 황태국밥을 준비해 보세요. 든든한 한 끼 식사가 될 거예요.",,,,
